TrioID	ChildID	PaternalID	MaternalID	Sex	Subpopulation	Superpopulation
BB05	HG01891	HG01890	HG01889	female	ACB	AFR
BB55	HG02486	HG02484	HG02485	male	ACB	AFR
BB68	HG02559	HG02557	HG02558	female	ACB	AFR
BB02	HG01888	HG01882	HG01883	male	ACB	AFR
BB21	HG02257	HG02255	HG02256	female	ACB	AFR
BB23	HG02280	HG02307	HG02308	female	ACB	AFR
BB03	HG01884	HG01885	HG01956	female	ACB	AFR
BB04	HG01887	HG02014	HG01886	male	ACB	AFR
BB46	HG02451	HG02449	HG02450	female	ACB	AFR
BB10	HG01959	HG01986	HG01958	female	ACB	AFR
BB22	HG02258	HG02314	HG02315	male	ACB	AFR
BB11	HG01960	HG01988	HG01989	female	ACB	AFR
NG107	HG03516	HG03515	HG03514	female	ESN	AFR
GB21	HG02572	HG02570	HG02571	male	GWD	AFR
GB89	HG02886	HG02884	HG02885	female	GWD	AFR
GB50	HG02717	HG02715	HG02716	male	GWD	AFR
GB33	HG02630	HG02628	HG02629	female	GWD	AFR
GB31	HG02622	HG02620	HG02621	female	GWD	AFR
GB125	HG03540	HG03538	HG03539	female	GWD	AFR
GB29	HG02615	HG02613	HG02614	female	GWD	AFR
GB63	HG02809	HG02807	HG02808	female	GWD	AFR
GB40	HG02668	HG02666	HG02667	male	GWD	AFR
GB97	HG02984	HG02982	HG02983	male	GWD	AFR
GB38	HG02647	HG02645	HG02646	male	GWD	AFR
GB74	HG02841	HG02839	HG02840	female	GWD	AFR
GB58	HG02773	HG02771	HG02772	male	GWD	AFR
SL50	HG03453	HG03451	HG03452	female	MSL	AFR
SL72	HG03579	HG03577	HG03578	male	MSL	AFR
SL56i	HG03471	HG03469	HG03470	male	MSL	AFR
CLM08	HG01138	HG01136	HG01137	male	CLM	AMR
CLM31	HG01358	HG01356	HG01357	male	CLM	AMR
CLM02	HG01123	HG01121	HG01122	female	CLM	AMR
CLM32	HG01361	HG01359	HG01360	female	CLM	AMR
CLM16	HG01258	HG01256	HG01257	male	CLM	AMR
